material_type,decomposition_time,source,target
2,2,1,Hazardous
1,3,1,Organic
3,24,2,Organic
1,14,1,Recyclable
1,24,2,Hazardous
1,14,3,Recyclable
3,11,1,Recyclable
3,16,2,Recyclable
1,4,3,Hazardous
1,20,3,Recyclable
2,5,2,Recyclable
1,22,1,Recyclable
2,21,2,Recyclable
1,14,3,Recyclable
2,23,2,Recyclable
3,16,1,Hazardous
1,18,3,Recyclable
1,7,2,Organic
1,10,1,Recyclable
1,7,3,Recyclable
2,1,1,Hazardous
1,23,3,Hazardous
3,21,2,Organic
3,19,1,Organic
1,16,3,Hazardous
3,19,1,Hazardous
1,4,1,Recyclable
1,18,2,Hazardous
3,2,1,Organic
1,1,3,Recyclable
3,15,3,Organic
2,5,3,Recyclable
1,20,3,Hazardous
2,11,2,Organic
3,10,1,Recyclable
2,2,2,Recyclable
2,3,1,Hazardous
3,23,1,Hazardous
2,23,1,Hazardous
2,12,2,Organic
3,20,1,Recyclable
2,5,2,Hazardous
3,5,3,Organic
2,6,3,Organic
3,9,1,Organic
3,2,2,Hazardous
2,21,3,Hazardous
2,12,2,Recyclable
2,3,2,Recyclable
1,20,1,Hazardous
1,22,3,Organic
1,12,1,Organic
3,24,1,Organic
2,17,3,Recyclable
3,10,3,Organic
1,24,2,Recyclable
2,14,3,Recyclable
3,23,2,Organic
2,17,2,Organic
3,18,2,Hazardous
2,19,3,Hazardous
1,17,1,Organic
1,14,2,Recyclable
2,9,1,Recyclable
3,8,1,Recyclable
1,2,3,Recyclable
1,13,1,Recyclable
1,7,1,Hazardous
2,9,3,Organic
2,22,2,Hazardous
3,22,1,Recyclable
3,11,3,Recyclable
3,14,1,Recyclable
2,4,1,Recyclable
2,13,2,Organic
3,2,1,Recyclable
3,23,3,Organic
2,5,1,Recyclable
3,11,2,Organic
1,6,2,Hazardous
2,18,3,Recyclable
3,21,2,Organic
2,10,1,Hazardous
1,4,2,Recyclable
2,9,3,Recyclable
2,6,2,Recyclable
2,2,2,Organic
2,17,2,Organic
1,5,3,Hazardous
2,6,2,Organic
2,12,2,Organic
3,23,1,Recyclable
2,21,3,Recyclable
3,10,2,Recyclable
1,22,3,Recyclable
1,21,2,Recyclable
1,6,2,Recyclable
1,8,2,Recyclable
3,2,1,Hazardous
2,12,1,Hazardous
1,13,1,Hazardous
2,21,3,Hazardous
3,7,3,Recyclable
3,10,1,Hazardous
3,13,3,Recyclable
1,17,2,Hazardous
2,21,2,Organic
2,14,2,Hazardous
2,2,1,Hazardous
3,22,3,Recyclable
1,11,1,Hazardous
3,1,3,Organic
3,19,2,Recyclable
2,21,1,Recyclable
3,4,3,Hazardous
2,19,3,Recyclable
1,21,2,Recyclable
2,11,1,Recyclable
1,8,1,Recyclable
2,11,1,Recyclable
3,4,2,Recyclable
3,17,1,Organic
1,7,2,Hazardous
1,8,2,Organic
1,3,2,Recyclable
2,22,3,Recyclable
2,2,1,Hazardous
1,23,1,Organic
3,15,2,Hazardous
2,24,2,Organic
2,22,1,Recyclable
2,22,2,Hazardous
1,5,1,Hazardous
1,24,3,Recyclable
1,1,2,Hazardous
1,4,1,Organic
1,15,2,Organic
3,20,1,Organic
3,19,1,Organic
1,3,2,Recyclable
2,20,3,Hazardous
1,11,1,Organic
3,17,1,Recyclable
3,13,1,Hazardous
2,11,3,Hazardous
3,2,3,Recyclable
1,9,2,Recyclable
2,2,3,Organic
1,21,2,Hazardous
1,9,2,Hazardous
2,9,3,Recyclable
1,8,2,Hazardous
3,17,3,Organic
1,1,2,Hazardous
2,11,3,Recyclable
2,8,3,Recyclable
2,10,2,Organic
1,7,1,Organic
2,3,2,Hazardous
2,3,3,Hazardous
1,18,1,Recyclable
3,5,2,Organic
1,12,2,Organic
2,12,2,Organic
2,19,1,Hazardous
1,6,3,Organic
3,2,2,Recyclable
2,12,2,Recyclable
2,19,2,Hazardous
2,5,2,Hazardous
1,12,2,Organic
2,17,3,Hazardous
3,17,3,Recyclable
2,10,2,Organic
2,23,1,Recyclable
3,17,3,Organic
2,15,1,Hazardous
1,12,3,Organic
1,16,2,Organic
1,24,3,Recyclable
3,19,2,Recyclable
2,8,3,Organic
1,21,2,Hazardous
3,17,2,Hazardous
2,23,2,Recyclable
3,5,2,Hazardous
1,22,1,Recyclable
1,16,2,Hazardous
1,6,1,Organic
3,8,1,Recyclable
3,18,2,Recyclable
1,12,1,Organic
3,15,3,Recyclable
1,9,2,Hazardous
1,13,1,Hazardous
2,15,2,Recyclable
3,10,2,Hazardous
1,16,2,Recyclable
1,7,1,Organic
3,17,3,Recyclable
2,23,3,Organic
2,21,1,Hazardous
1,22,2,Organic
3,7,1,Hazardous
2,14,1,Recyclable
3,15,1,Hazardous
3,21,2,Recyclable
1,7,1,Recyclable
2,9,2,Organic
1,19,1,Organic
2,16,3,Organic
2,8,1,Organic
2,18,1,Hazardous
2,23,3,Hazardous
2,18,2,Hazardous
3,20,2,Recyclable
1,7,1,Hazardous
3,3,3,Hazardous
2,18,2,Hazardous
1,10,1,Organic
2,7,3,Hazardous
1,17,2,Recyclable
3,14,2,Organic
1,24,3,Recyclable
1,3,3,Hazardous
1,12,3,Organic
1,13,3,Recyclable
1,2,1,Hazardous
2,3,3,Recyclable
1,5,2,Recyclable
1,11,2,Recyclable
3,8,1,Hazardous
1,23,2,Hazardous
3,23,2,Recyclable
2,12,3,Organic
1,7,2,Organic
3,15,1,Hazardous
3,24,3,Hazardous
2,17,3,Hazardous
1,4,1,Hazardous
1,22,3,Hazardous
3,13,3,Organic
1,18,1,Hazardous
3,1,3,Recyclable
1,16,1,Recyclable
3,13,1,Organic
1,10,2,Recyclable
2,12,2,Organic
1,2,3,Organic
1,23,3,Recyclable
2,3,1,Hazardous
1,10,3,Recyclable
2,2,1,Recyclable
1,23,1,Organic
3,13,3,Recyclable
3,13,1,Organic
1,18,2,Hazardous
1,3,3,Hazardous
1,7,2,Hazardous
3,14,3,Recyclable
1,20,1,Organic
3,17,3,Hazardous
2,21,2,Organic
3,12,1,Organic
3,16,3,Hazardous
2,24,3,Hazardous
3,12,3,Organic
1,15,2,Hazardous
1,10,2,Organic
3,7,3,Organic
1,20,1,Hazardous
3,5,1,Recyclable
1,1,2,Hazardous
1,17,1,Recyclable
3,3,2,Organic
1,13,3,Organic
3,14,2,Recyclable
1,24,2,Organic
1,18,3,Recyclable
2,4,1,Recyclable
2,18,2,Organic
3,5,2,Recyclable
2,16,3,Hazardous
3,1,1,Hazardous
2,21,2,Organic
1,14,3,Organic
3,15,2,Recyclable
3,9,3,Recyclable
1,15,1,Recyclable
3,17,1,Recyclable
3,24,1,Hazardous
2,4,1,Hazardous
3,12,2,Organic
1,5,2,Recyclable
2,5,1,Recyclable
2,11,1,Organic
1,6,1,Recyclable
1,7,2,Recyclable
2,24,1,Recyclable
3,14,1,Recyclable
2,24,1,Recyclable
1,11,3,Organic
2,13,1,Recyclable
1,2,3,Organic
2,7,3,Recyclable
3,20,1,Hazardous
2,4,3,Hazardous
2,8,1,Hazardous
1,20,2,Hazardous
1,22,2,Organic
1,21,2,Organic
2,19,2,Recyclable
3,13,3,Hazardous
1,14,1,Organic
1,10,1,Recyclable
2,11,1,Recyclable
1,2,2,Organic
3,9,2,Hazardous
3,17,1,Recyclable
1,3,2,Hazardous
1,24,1,Hazardous
2,6,1,Hazardous
3,5,1,Recyclable
3,5,1,Hazardous
1,22,1,Recyclable
2,15,1,Hazardous
3,23,1,Recyclable
3,17,2,Hazardous
2,9,1,Organic
2,3,1,Hazardous
3,20,2,Hazardous
3,17,2,Recyclable
2,10,2,Recyclable
3,3,1,Hazardous
1,18,3,Organic
1,18,3,Organic
2,17,2,Recyclable
2,24,3,Organic
2,3,2,Hazardous
1,3,1,Recyclable
3,6,3,Hazardous
1,13,1,Recyclable
3,24,3,Recyclable
1,15,1,Recyclable
3,9,3,Recyclable
1,4,1,Organic
2,14,1,Hazardous
1,5,3,Hazardous
3,2,1,Hazardous
1,11,1,Recyclable
1,9,1,Organic
1,24,3,Hazardous
2,3,3,Organic
1,9,1,Recyclable
2,3,1,Hazardous
2,2,3,Organic
1,12,3,Recyclable
1,10,1,Organic
1,9,1,Hazardous
3,15,1,Hazardous
1,8,2,Recyclable
2,5,3,Recyclable
1,11,2,Recyclable
3,2,3,Organic
1,24,3,Organic
3,15,3,Organic
3,6,3,Recyclable
1,8,3,Hazardous
2,5,3,Hazardous
3,16,3,Organic
1,18,2,Organic
1,6,1,Hazardous
2,5,1,Hazardous
3,16,2,Organic
3,13,2,Organic
1,5,2,Hazardous
1,13,2,Recyclable
2,17,3,Organic
2,18,1,Hazardous
3,8,3,Hazardous
3,13,1,Hazardous
1,19,1,Hazardous
3,3,2,Recyclable
2,24,3,Hazardous
2,8,2,Organic
1,2,3,Recyclable
2,8,1,Hazardous
2,13,2,Recyclable
2,13,2,Organic
2,1,1,Hazardous
1,6,1,Organic
1,24,1,Hazardous
3,19,2,Hazardous
2,16,3,Hazardous
3,8,2,Hazardous
1,1,3,Hazardous
1,16,2,Recyclable
1,9,2,Hazardous
1,13,1,Hazardous
1,11,3,Recyclable
1,13,2,Recyclable
1,21,2,Recyclable
2,10,1,Recyclable
3,4,1,Recyclable
1,6,3,Recyclable
2,7,2,Hazardous
2,5,3,Hazardous
3,11,2,Organic
1,13,3,Hazardous
3,19,1,Hazardous
1,23,2,Recyclable
2,10,3,Recyclable
2,10,1,Hazardous
2,11,1,Organic
2,21,3,Recyclable
3,7,2,Hazardous
1,18,2,Hazardous
1,4,1,Organic
3,2,2,Organic
1,14,2,Recyclable
2,13,2,Organic
1,12,1,Hazardous
2,7,3,Hazardous
3,2,2,Organic
1,13,1,Organic
3,14,1,Organic
1,17,3,Organic
2,9,2,Recyclable
3,17,2,Organic
1,8,3,Recyclable
2,2,3,Hazardous
3,24,1,Organic
3,13,1,Recyclable
1,3,3,Organic
1,16,2,Hazardous
1,6,1,Hazardous
2,19,1,Hazardous
1,7,2,Organic
3,10,1,Organic
3,9,2,Recyclable
1,2,2,Hazardous
1,15,2,Organic
3,5,3,Hazardous
2,22,3,Hazardous
1,4,3,Recyclable
1,20,2,Recyclable
3,4,2,Recyclable
1,18,3,Recyclable
2,4,1,Hazardous
3,17,2,Recyclable
1,12,1,Recyclable
3,22,1,Recyclable
1,17,2,Recyclable
1,10,2,Hazardous
1,22,1,Recyclable
2,1,1,Hazardous
2,22,3,Organic
3,24,3,Hazardous
1,18,2,Hazardous
1,18,3,Recyclable
2,14,3,Organic
1,15,3,Organic
2,12,3,Organic
1,4,1,Organic
3,3,2,Hazardous
1,20,3,Organic
1,12,1,Hazardous
2,7,1,Hazardous
1,11,1,Hazardous
1,1,3,Organic
2,6,3,Recyclable
3,15,2,Recyclable
3,15,3,Organic
2,19,3,Recyclable
2,11,1,Recyclable
2,23,2,Hazardous
2,2,3,Hazardous
2,14,3,Organic
3,2,1,Organic
3,4,1,Recyclable
2,17,3,Hazardous
1,3,2,Organic
2,13,2,Organic
1,9,1,Organic
2,7,1,Organic
2,15,3,Organic
3,23,1,Organic
1,11,3,Recyclable
1,20,2,Hazardous
3,2,2,Hazardous
3,15,3,Organic
3,14,1,Hazardous
3,20,2,Hazardous
1,22,1,Hazardous
1,11,2,Organic
2,3,3,Organic
2,17,3,Hazardous
3,12,3,Hazardous
3,24,2,Organic
3,21,1,Recyclable
2,15,1,Hazardous
2,16,1,Recyclable
2,5,2,Hazardous
2,20,2,Recyclable
2,6,2,Recyclable
2,19,2,Recyclable
2,5,2,Organic
3,3,1,Recyclable
3,1,2,Recyclable
3,6,2,Recyclable
3,15,1,Hazardous
2,2,2,Recyclable
1,3,1,Hazardous
2,17,1,Recyclable
1,24,3,Recyclable
3,12,3,Organic
2,18,3,Hazardous
3,15,3,Recyclable
2,12,2,Hazardous
3,16,3,Hazardous
1,8,1,Organic
1,14,2,Organic
1,17,3,Organic
2,21,1,Organic
1,8,2,Organic
2,15,2,Organic
1,14,3,Organic
1,18,2,Organic
2,20,1,Recyclable
2,7,2,Hazardous
1,3,1,Organic
2,12,2,Organic
1,21,3,Hazardous
2,24,1,Recyclable
3,3,2,Hazardous
3,20,2,Hazardous
3,14,2,Organic
3,15,1,Hazardous
3,14,1,Hazardous
1,7,1,Organic
3,17,3,Organic
3,12,3,Organic
3,20,1,Organic
3,4,2,Hazardous
2,9,3,Hazardous
1,6,1,Recyclable
3,16,2,Recyclable
3,22,3,Hazardous
3,22,2,Recyclable
1,21,2,Hazardous
2,21,2,Recyclable
1,2,2,Organic
2,24,3,Recyclable
3,8,3,Organic
3,11,3,Organic
1,13,1,Organic
1,17,3,Organic
2,8,2,Recyclable
2,21,3,Hazardous
1,18,2,Organic
2,18,1,Recyclable
1,14,2,Organic
2,15,2,Recyclable
1,6,2,Recyclable
1,11,1,Recyclable
1,13,3,Hazardous
2,1,3,Recyclable
2,6,1,Recyclable
2,9,2,Hazardous
1,8,3,Hazardous
2,11,1,Recyclable
2,22,3,Hazardous
1,19,1,Organic
3,24,2,Organic
1,9,3,Hazardous
2,17,1,Hazardous
1,12,3,Recyclable
3,14,3,Hazardous
1,15,3,Recyclable
2,16,3,Organic
3,22,1,Hazardous
2,22,2,Recyclable
3,20,1,Recyclable
3,1,1,Organic
1,10,1,Hazardous
1,8,2,Organic
2,18,3,Recyclable
1,1,3,Recyclable
1,2,3,Hazardous
3,1,2,Recyclable
1,1,3,Hazardous
3,9,2,Organic
3,13,3,Hazardous
3,1,3,Hazardous
2,13,1,Recyclable
2,20,2,Recyclable
2,22,1,Hazardous
3,7,1,Recyclable
2,2,1,Recyclable
2,6,2,Recyclable
1,7,2,Hazardous
2,14,3,Recyclable
2,18,1,Hazardous
3,15,3,Recyclable
3,2,1,Organic
3,10,2,Recyclable
3,23,2,Recyclable
3,12,2,Hazardous
3,17,1,Hazardous
2,8,2,Recyclable
3,11,1,Organic
3,3,3,Recyclable
1,6,1,Recyclable
2,9,3,Organic
2,6,1,Hazardous
2,9,3,Recyclable
3,7,2,Hazardous
3,9,3,Hazardous
3,18,2,Organic
1,12,2,Organic
3,8,3,Hazardous
1,8,1,Recyclable
2,18,1,Hazardous
3,20,1,Recyclable
1,15,1,Recyclable
1,7,1,Organic
3,11,2,Recyclable
2,20,1,Recyclable
2,16,2,Hazardous
2,4,2,Organic
1,6,2,Recyclable
1,22,3,Recyclable
1,3,3,Organic
1,9,2,Hazardous
2,10,3,Organic
3,14,1,Organic
1,11,1,Recyclable
1,18,2,Recyclable
2,22,1,Hazardous
3,12,2,Recyclable
3,23,2,Recyclable
2,12,1,Organic
2,13,3,Recyclable
3,13,1,Hazardous
1,19,1,Organic
3,19,2,Hazardous
2,23,2,Organic
1,14,2,Recyclable
1,4,2,Organic
2,13,3,Organic
2,8,3,Recyclable
2,23,3,Recyclable
3,21,2,Hazardous
3,23,2,Hazardous
1,19,2,Recyclable
2,12,3,Recyclable
1,18,2,Recyclable
1,6,1,Organic
1,18,1,Organic
1,19,2,Organic
2,22,1,Recyclable
1,5,1,Hazardous
2,24,3,Recyclable
2,9,2,Organic
3,3,2,Organic
2,10,3,Recyclable
3,19,1,Recyclable
2,3,1,Organic
2,22,2,Organic
2,15,1,Organic
3,1,3,Recyclable
3,7,3,Organic
1,12,2,Organic
